Date,Open,High,Low,Close,Adj Close,Volume,Currency
18-03-16,420.546997,420.546997,406.136993,409.548004,409.548004,104940000,Bitcoin
19-03-16,409.265015,410.984009,407.230011,410.444,410.444,58423000,Bitcoin
20-03-16,410.401001,414.625,410.401001,413.755005,413.755005,45947900,Bitcoin
21-03-16,413.417999,413.417999,410.381012,413.307007,413.307007,61655400,Bitcoin
22-03-16,413.131989,418.375,412.531006,418.088989,418.088989,66813300,Bitcoin
23-03-16,418.161011,419.268005,417.364014,418.040985,418.040985,61444200,Bitcoin
24-03-16,418.424011,418.679993,415.485992,416.394012,416.394012,68346704,Bitcoin
25-03-16,416.507996,418.079987,415.558014,417.177002,417.177002,52560000,Bitcoin
26-03-16,417.36499,418.987,416.259003,417.945007,417.945007,44650400,Bitcoin
27-03-16,418.140015,428.796997,417.710999,426.765015,426.765015,71229400,Bitcoin
28-03-16,426.548004,426.856995,423.292999,424.230988,424.230988,68522800,Bitcoin
29-03-16,424.303986,426.203003,412.681,416.515991,416.515991,75411504,Bitcoin
30-03-16,416.834015,416.834015,412.496002,414.81601,414.81601,66034100,Bitcoin
31-03-16,415.256989,418.368988,415.256989,416.729004,416.729004,60215200,Bitcoin
01-04-16,416.76001,418.173004,415.830994,417.959991,417.959991,51235700,Bitcoin
02-04-16,418.421997,422.080994,418.421997,420.872986,420.872986,45681200,Bitcoin
03-04-16,421.173004,421.579987,419.696991,420.903992,420.903992,38053700,Bitcoin
04-04-16,421.299011,422.342987,419.601013,421.444,421.444,50634300,Bitcoin
05-04-16,421.016998,424.256989,420.614014,424.029999,424.029999,60718000,Bitcoin
06-04-16,424.283997,424.527008,422.729004,423.412994,423.412994,59091000,Bitcoin
07-04-16,423.619995,423.657013,420.518005,422.744995,422.744995,57858600,Bitcoin
08-04-16,422.907013,425.360992,419.63501,420.348999,420.348999,63454700,Bitcoin
09-04-16,420.811005,420.890991,416.515015,419.411011,419.411011,49792700,Bitcoin
10-04-16,419.59201,422.434998,419.256989,421.563995,421.563995,73478600,Bitcoin
11-04-16,421.872009,422.739014,420.53299,422.483002,422.483002,50747500,Bitcoin
12-04-16,422.842987,427.277008,422.842987,425.190002,425.190002,70728800,Bitcoin
13-04-16,425.631989,426.65799,422.915985,423.734009,423.734009,69060400,Bitcoin
14-04-16,423.934998,425.371002,423.013,424.282013,424.282013,45281000,Bitcoin
15-04-16,424.427002,429.928009,424.427002,429.713013,429.713013,54801500,Bitcoin
16-04-16,429.575012,432.625,428.984009,430.571991,430.571991,39392800,Bitcoin
17-04-16,430.635986,431.371002,426.07901,427.398987,427.398987,52125900,Bitcoin
18-04-16,427.610992,429.273987,427.085999,428.591003,428.591003,55670900,Bitcoin
19-04-16,428.703003,436.019989,428.104004,435.509003,435.509003,52810500,Bitcoin
20-04-16,435.324005,443.053986,434.406006,441.389008,441.389008,72890096,Bitcoin
21-04-16,441.415985,450.548004,440.951996,449.424988,449.424988,68204704,Bitcoin
22-04-16,449.687988,449.809998,444.149994,445.737,445.737,58804400,Bitcoin
23-04-16,445.860992,450.282013,444.330994,450.282013,450.282013,50485400,Bitcoin
24-04-16,450.559998,460.145996,448.928009,458.554993,458.554993,68198400,Bitcoin
25-04-16,459.121002,466.619995,453.59201,461.425995,461.425995,87091800,Bitcoin
26-04-16,461.64801,467.964996,461.621002,466.088989,466.088989,78971904,Bitcoin
27-04-16,466.261993,467.07901,444.134003,444.687012,444.687012,93564896,Bitcoin
28-04-16,445.037994,449.550995,436.649994,449.010986,449.010986,74064704,Bitcoin
29-04-16,449.40799,455.384003,446.016998,455.096985,455.096985,49258500,Bitcoin
30-04-16,455.178009,455.587006,447.696991,448.317993,448.317993,69322600,Bitcoin
01-05-16,448.484009,452.479004,447.927002,451.875,451.875,40660100,Bitcoin
02-05-16,451.933014,452.445007,441.776001,444.669006,444.669006,92127000,Bitcoin
03-05-16,444.72699,451.096985,442.617004,450.303986,450.303986,59366400,Bitcoin
04-05-16,450.183014,450.377991,445.630005,446.721985,446.721985,50407300,Bitcoin
05-05-16,446.710999,448.506012,445.882996,447.976013,447.976013,50440800,Bitcoin
06-05-16,447.941986,461.375,447.067993,459.602997,459.602997,72796800,Bitcoin
07-05-16,459.639008,460.674988,457.324005,458.536011,458.536011,38364500,Bitcoin
08-05-16,458.428986,459.416992,455.983002,458.548004,458.548004,40315000,Bitcoin
09-05-16,458.205994,462.480988,456.531006,460.483002,460.483002,55493100,Bitcoin
10-05-16,460.518005,461.928986,448.95401,450.894989,450.894989,58956100,Bitcoin
11-05-16,450.864014,454.575989,450.864014,452.727997,452.727997,50605200,Bitcoin
12-05-16,452.446991,454.949005,449.25,454.765991,454.765991,59849300,Bitcoin
13-05-16,454.850006,457.054993,453.453003,455.670013,455.670013,60845000,Bitcoin
14-05-16,455.822998,456.835999,454.786011,455.67099,455.67099,37209000,Bitcoin
15-05-16,455.759003,458.691986,455.459015,457.567993,457.567993,28514000,Bitcoin
16-05-16,457.585999,458.200012,452.945007,454.162994,454.162994,59171500,Bitcoin
17-05-16,454.009003,455.071991,453.605011,453.78299,453.78299,64100300,Bitcoin
18-05-16,453.69101,455.997986,453.299011,454.618988,454.618988,86850096,Bitcoin
19-05-16,454.523987,454.632996,438.714996,438.714996,438.714996,96027400,Bitcoin
20-05-16,437.792999,444.053986,437.389008,442.675995,442.675995,81987904,Bitcoin
21-05-16,442.966003,443.778015,441.705994,443.187988,443.187988,42762300,Bitcoin
22-05-16,443.217987,443.427002,439.035004,439.322998,439.322998,39657600,Bitcoin
23-05-16,439.347992,444.345001,438.822998,444.154999,444.154999,50582500,Bitcoin
24-05-16,444.290985,447.100006,443.929993,445.980988,445.980988,65783100,Bitcoin
25-05-16,446.062012,450.298004,446.062012,449.598999,449.598999,65231000,Bitcoin
